iteration,epoch,batch_in_epoch,batches_per_epoch,loss_instant,loss_running_avg
4014,24,150,168,0.00086195,0.013998
4019,24,155,168,0.00034008,0.013987
4024,24,160,168,0.00019024,0.013972
4029,24,165,168,0.013904,0.013958
4200,26,0,168,0.00038145,0.013452
4205,26,5,168,0.00012795,0.013437
4210,26,10,168,0.02416,0.01343
4215,26,15,168,0.00046407,0.013418
4220,26,20,168,0.00022325,0.013402
4225,26,25,168,0.0020386,0.013387
4230,26,30,168,0.00038033,0.013372
4235,26,35,168,3.6401e-05,0.013357
4240,26,40,168,5.2582e-05,0.013341
4245,26,45,168,0.0097462,0.013331
4250,26,50,168,4.7829e-05,0.013319
4255,26,55,168,0.00020323,0.013307
4260,26,60,168,0.00014192,0.013293
4265,26,65,168,0.00041892,0.013278
4270,26,70,168,0.025377,0.013276
4275,26,75,168,0.0017639,0.013263
4280,26,80,168,0.00042697,0.013251
4285,26,85,168,0.00043205,0.013236
4290,26,90,168,3.9361e-05,0.013221
4295,26,95,168,2.7106e-05,0.013206
4300,26,100,168,8.5001e-05,0.013191
4305,26,105,168,4.0328e-05,0.013176
4310,26,110,168,2.8888e-05,0.013162
4315,26,115,168,0.002062,0.013152
4320,26,120,168,6.0373e-05,0.013143
4325,26,125,168,0.00035962,0.013137
4330,26,130,168,0.00053334,0.013122
4335,26,135,168,0.067191,0.013138
4340,26,140,168,0.0014488,0.01314
4345,26,145,168,0.0010955,0.013131
4350,26,150,168,0.00095479,0.013118
4355,26,155,168,0.00018455,0.013109
4360,26,160,168,0.0025947,0.0131
4365,26,165,168,0.0008466,0.013087
4536,28,0,168,0.00014545,0.012669
4541,28,5,168,0.00043734,0.012656
4546,28,10,168,0.0002214,0.012642
4551,28,15,168,0.00032732,0.012628
4556,28,20,168,4.8514e-05,0.012618
4561,28,25,168,0.00026903,0.012604
4566,28,30,168,9.9767e-05,0.01259
4571,28,35,168,0.00011632,0.012577
4576,28,40,168,0.012761,0.012566
4581,28,45,168,2.4269e-05,0.012553
4586,28,50,168,0.0010399,0.01254
4591,28,55,168,0.0011428,0.012528
4596,28,60,168,0.00074776,0.012517
4601,28,65,168,8.3627e-05,0.012503
4606,28,70,168,5.2864e-05,0.01249
4611,28,75,168,3.9495e-05,0.012476
4616,28,80,168,5.7951e-05,0.012464
4621,28,85,168,3.6206e-05,0.012452
4626,28,90,168,1.9471e-05,0.012438
4631,28,95,168,1.9613e-05,0.012425
4636,28,100,168,0.0029156,0.012413
4641,28,105,168,0.01134,0.012403
4646,28,110,168,0.0017845,0.012391
4651,28,115,168,4.0354e-05,0.012378
4656,28,120,168,0.00010399,0.012368
4661,28,125,168,0.00014313,0.012355
4666,28,130,168,1.2281e-05,0.012342
4671,28,135,168,9.3392e-06,0.012329
4676,28,140,168,9.7354e-06,0.012318
4681,28,145,168,0.002263,0.012305
4686,28,150,168,0.0001762,0.012292
4691,28,155,168,4.6387e-05,0.012281
4696,28,160,168,4.0995e-05,0.01227
4701,28,165,168,1.1428e-05,0.012261
4872,30,0,168,0.00016303,0.011927
4877,30,5,168,0.0028982,0.011918
4882,30,10,168,0.00067369,0.011907
4887,30,15,168,0.00012335,0.011895
4892,30,20,168,0.00011807,0.011883
4897,30,25,168,6.0132e-05,0.011871
4902,30,30,168,0.00024202,0.011868
4907,30,35,168,0.00052629,0.011857
4912,30,40,168,0.00025795,0.011845
4917,30,45,168,0.00014592,0.011835
4922,30,50,168,0.00014954,0.011826
4927,30,55,168,3.6422e-05,0.011814
4932,30,60,168,0.00081708,0.01181
4937,30,65,168,0.00012299,0.011808
4942,30,70,168,0.01326,0.011806
4947,30,75,168,0.014715,0.011841
4952,30,80,168,0.010354,0.011842
4957,30,85,168,0.0040748,0.011839
4962,30,90,168,0.002892,0.011836
4967,30,95,168,0.0036392,0.011829
4972,30,100,168,0.00063677,0.01182
4977,30,105,168,8.3483e-05,0.011814
4982,30,110,168,0.015307,0.01181
4987,30,115,168,0.00087432,0.011801
4992,30,120,168,0.020909,0.011798
4997,30,125,168,0.00064918,0.011788
5002,30,130,168,0.0010433,0.01178
5007,30,135,168,0.00044673,0.011769
5012,30,140,168,7.5386e-05,0.011758
5017,30,145,168,0.00015981,0.011749
5022,30,150,168,0.019199,0.011741
5027,30,155,168,0.00058641,0.01173
5032,30,160,168,0.00024381,0.011719
5037,30,165,168,0.00012708,0.01171
5208,32,0,168,3.5669e-05,0.011429
5213,32,5,168,0.00087983,0.011418
5218,32,10,168,3.5645e-05,0.011409
5223,32,15,168,1.4835e-05,0.0114
5228,32,20,168,4.7507e-06,0.011393
5233,32,25,168,3.3733e-05,0.011388
5238,32,30,168,0.0047315,0.011379
5243,32,35,168,0.00086581,0.011369
5248,32,40,168,9.651e-05,0.011358
5253,32,45,168,0.016961,0.011351
5258,32,50,168,0.01679,0.011344
5263,32,55,168,0.00016101,0.011334
5268,32,60,168,0.00061304,0.011328
5273,32,65,168,0.00040932,0.011317
5278,32,70,168,0.00029144,0.011307
5283,32,75,168,0.01496,0.0113
5288,32,80,168,6.763e-05,0.011289
5293,32,85,168,3.5537e-05,0.011279
5298,32,90,168,0.00018872,0.011268
5303,32,95,168,0.0001018,0.011258
5308,32,100,168,9.9783e-05,0.011248
5313,32,105,168,0.0001006,0.011237
5318,32,110,168,6.4628e-05,0.011227
5323,32,115,168,1.8585e-05,0.011216
5328,32,120,168,0.015836,0.011209
5333,32,125,168,0.00010894,0.011201
5338,32,130,168,0.00014612,0.011191
5343,32,135,168,0.0002193,0.011181
5348,32,140,168,0.00013949,0.01117
5353,32,145,168,0.0001009,0.01116
5358,32,150,168,0.00039183,0.011151
5363,32,155,168,0.00097785,0.011147
5368,32,160,168,0.00022645,0.011137
5373,32,165,168,0.0002059,0.011127
5544,34,0,168,0.00012838,0.010929
5549,34,5,168,0.00027303,0.010919
5554,34,10,168,7.2292e-05,0.01091
5559,34,15,168,4.948e-05,0.010901
5564,34,20,168,6.9022e-05,0.010893
5569,34,25,168,0.00019817,0.010883
