[2024-07-02 13:18:58] [PID 0] [INFO] Load config successfully!
[2024-07-02 13:18:58] [PID 0] [INFO] {'batch_size': 512,
 'ckpt_path': 'checkpoints/checkpoint_0',
 'comment': 'no comments',
 'continuous_train': False,
 'crystal_gnn_config': {'atom_fea_len': 512, 'n_conv': 3},
 'dmin': 0,
 'drop_rate': 0.25,
 'dtype': torch.float32,
 'epochs': 500,
 'experiment_name': '0',
 'figs_train': 'figs/train_0.pdf',
 'head_output_dim': 2,
 'load_pretrain': True,
 'log_batch_freq': 5,
 'log_epoch_freq': 2,
 'log_file': 'logs/out_0.log',
 'lr': 0.001,
 'lr_milestones': [100],
 'max_num_nbr': 12,
 'momentum': 0.9,
 'num_workers': 8,
 'pre_ckpt_path': 'checkpoints/pre_checkpoint_0',
 'precision': 'float32',
 'processed_dir': {'negative': 'processed_negative',
                   'positive': 'processed_positive'},
 'radius': 20,
 'random_seed': 666,
 'ratio': 711,
 'root_dir': 'data',
 'sample_size': 10,
 'save_epoch_freq': 5,
 'shuffle': True,
 'step': 0.2,
 'weight_decay': 0}
[2024-07-02 13:18:58] [PID 0] [INFO] Load data...
[2024-07-02 13:18:58] [PID 0] [INFO] Process...
[2024-07-02 13:19:35] [PID 0] [INFO] Total number of data points: 85590
[2024-07-02 13:19:35] [PID 0] [INFO] Number of batches per epoch: 168
[2024-07-02 13:19:39] [PID 0] [INFO] Train...
[2024-07-02 13:23:30] [PID 0] [INFO] [Train] Epoch [4/500] [135/168]	 BT 0.326 (0.362)	 DT 0.010 (0.020)	 Loss 2.4813e-02 (5.6064e-02)	
[2024-07-02 13:23:32] [PID 0] [INFO] [Train] Epoch [4/500] [140/168]	 BT 0.373 (0.362)	 DT 0.010 (0.020)	 Loss 4.1413e-03 (5.5709e-02)	
[2024-07-02 13:23:34] [PID 0] [INFO] [Train] Epoch [4/500] [145/168]	 BT 0.354 (0.362)	 DT 0.011 (0.020)	 Loss 1.4199e-02 (5.5341e-02)	
[2024-07-02 13:23:36] [PID 0] [INFO] [Train] Epoch [4/500] [150/168]	 BT 0.346 (0.362)	 DT 0.013 (0.020)	 Loss 1.9122e-02 (5.4994e-02)	
[2024-07-02 13:23:37] [PID 0] [INFO] [Train] Epoch [4/500] [155/168]	 BT 0.331 (0.362)	 DT 0.010 (0.020)	 Loss 1.1431e-03 (5.4724e-02)	
[2024-07-02 13:23:39] [PID 0] [INFO] [Train] Epoch [4/500] [160/168]	 BT 0.342 (0.361)	 DT 0.010 (0.020)	 Loss 2.1476e-03 (5.4429e-02)	
[2024-07-02 13:23:41] [PID 0] [INFO] [Train] Epoch [4/500] [165/168]	 BT 0.334 (0.361)	 DT 0.010 (0.020)	 Loss 1.3431e-02 (5.4067e-02)	
[2024-07-02 13:24:43] [PID 0] [INFO] [Train] Epoch [6/500] [0/168]	 BT 1.287 (0.361)	 DT 0.953 (0.020)	 Loss 1.3873e-03 (4.5290e-02)	
[2024-07-02 13:24:44] [PID 0] [INFO] [Train] Epoch [6/500] [5/168]	 BT 0.338 (0.361)	 DT 0.012 (0.020)	 Loss 7.9300e-02 (4.5408e-02)	
[2024-07-02 13:24:46] [PID 0] [INFO] [Train] Epoch [6/500] [10/168]	 BT 0.382 (0.361)	 DT 0.012 (0.020)	 Loss 2.9164e-02 (4.5292e-02)	
[2024-07-02 13:24:48] [PID 0] [INFO] [Train] Epoch [6/500] [15/168]	 BT 0.336 (0.361)	 DT 0.012 (0.020)	 Loss 1.7240e-02 (4.5187e-02)	
[2024-07-02 13:24:50] [PID 0] [INFO] [Train] Epoch [6/500] [20/168]	 BT 0.355 (0.361)	 DT 0.011 (0.020)	 Loss 1.6844e-02 (4.5072e-02)	
[2024-07-02 13:24:52] [PID 0] [INFO] [Train] Epoch [6/500] [25/168]	 BT 0.355 (0.361)	 DT 0.012 (0.020)	 Loss 1.6871e-02 (4.4918e-02)	
